date,order_id,category,product,quantity,unit_price,region
2026-08-22,E-0064,Office,Keyboard,13,28800,Incheon
2026-08-20,E-0084,Monitor,27-inch Monitor,8,243000,Incheon
2026-08-10,E-0059,Office,Keyboard,13,28800,Incheon
2026-08-09,E-0087,Monitor,24-inch Monitor,1,171000,Daegu
2026-08-21,E-0020,Office,Mouse,8,18000,Gwangju
2026-08-09,E-0046,Accessory,Webcam,5,72000,Daejeon
2026-08-09,E-0091,Monitor,27-inch Monitor,1,243000,Daegu
2026-08-10,E-0068,Accessory,Laptop Stand,13,28000,Busan
2026-08-21,E-0093,Office,Mouse,5,14400,Daejeon
2026-08-28,E-0057,Office,Mouse,13,16200,Daejeon
2026-08-05,E-0078,Accessory,Webcam,1,57600,Ulsan
2026-08-24,E-0077,Accessory,USB-C Hub,2,52000,Incheon
2026-08-06,E-0044,Accessory,USB-C Hub,2,58500,Gwangju
2026-08-25,E-0051,Monitor,27-inch Monitor,8,270000,Seoul
2026-08-12,E-0038,Accessory,Webcam,1,72000,Daejeon
2026-08-14,E-0067,Office,Mouse,3,18000,Daegu
2026-08-25,E-0040,Accessory,USB-C Hub,2,65000,Busan
2026-08-28,E-0079,Office,Keyboard,13,32000,Jeju
2026-08-16,E-0060,Office,Keyboard,3,25600,Gwangju
2026-08-03,E-0071,Accessory,Webcam,8,72000,Gwangju
2026-08-19,E-0058,Monitor,24-inch Monitor,8,171000,Ulsan
2026-08-24,E-0013,Office,Desk Lamp,5,24000,Incheon
2026-08-10,E-0075,Accessory,USB-C Hub,1,52000,Jeju
2026-08-14,E-0063,Monitor,27-inch Monitor,1,216000,Incheon
2026-08-26,E-0021,Office,Keyboard,5,25600,Ulsan
2026-08-15,E-0043,Monitor,27-inch Monitor,3,270000,Daegu
2026-08-04,E-0049,Monitor,27-inch Monitor,5,243000,Ulsan
